Kernel_Name,Count,Sum(us),Mean(us),Median(us),Pct
"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",540,51816.707,95.95686481481482,85.681,40.74837695238573
"void batch_decode_kernels::grouped_expert_gate_up<16, 1>(float const*, char const*, unsigned long const*, unsigned long const*, int const*, int const*, float*, unsigned short*, int, int, int, int, int)",104,19741.527,189.822375,136.161,15.52462961051733
"void batch_decode_kernels::grouped_expert_down<16, 1>(float const*, unsigned short const*, char const*, unsigned long const*, int const*, int const*, float*, int, int, int, int)",104,11569.651,111.24664423076923,80.0805,9.098310708080051
"batch_decode_kernels::mfma_gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",108,10154.122,94.01964814814815,88.8805,7.9851463906518205
"batch_decode_kernels::mfma_head_gemm(float*, float const*, unsigned short const*, int, int, int, int, int, int, unsigned long)",216,4318.583,19.993439814814813,20.08,3.396110215652354
"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",275,3473.302,12.630189090909091,12.64,2.73138582823249
"batch_decode_kernels::reduce_routes_add(float*, float const*, float const*, int, int, int)",104,3071.053,29.52935576923077,29.84,2.4150593993700733
"batch_decode_kernels::latent_context(float*, float const*, unsigned short const*, int, int, int, int, int, int)",108,3052.653,28.265305555555553,34.0,2.4005897393061115
"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",81,2558.088,31.581333333333333,23.041,2.0116665094401798
"batch_decode_kernels::routed_shared_gate_up(float*, float*, float const*, char const*, unsigned long const*, unsigned long const*, int const*, unsigned short const*, unsigned short const*, int, int, int, int, int)",26,2397.609,92.21573076923076,92.3205,1.8854666954508053
"void moe_kernels::router_topk_wave64_kernel<64>(float*, float const*, int*, float*, int, int, int, int, int, float)",130,2095.851,16.12193076923077,16.16,1.648165843190973
"batch_decode_kernels::align_routes(int const*, int, int, int, int*, int*, int*)",104,1826.403,17.561567307692307,16.96,1.4362733994456298
"batch_decode_kernels::routed_shared_down(float*, float const*, float const*, char const*, unsigned long const*, int const*, float const*, unsigned short const*, int, int, int, int, int)",26,1687.044,64.8863076923077,64.8805,1.3266822387470636
"batch_decode_kernels::kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",108,1124.166,10.408944444444446,10.4,0.8840380367099681
"batch_decode_kernels::attention_score(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",108,1088.325,10.077083333333334,10.08,0.855852868973422
"batch_decode_kernels::dual_gemv(float*, unsigned short const*, int, float*, unsigned short const*, int, float const*, int, int)",27,1048.965,38.85055555555555,38.721,0.8249003787496434
"batch_decode_kernels::gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",27,1040.483,38.53640740740741,35.361,0.8182301800179845
"batch_decode_kernels::argmax(float const*, int, int*, int)",5,917.765,183.553,183.841,0.721725411337048
"void batch_decode_kernels::flash_prefill<8>(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",27,908.962,33.665259259259265,33.76,0.7148027799488386
"void attention_kernels::softmax_rows_kernel<256>(float*, int, int, int, int)",108,900.485,8.337824074074074,8.32,0.7081365131900232
"batch_decode_kernels::q_rope(float*, float const*, int, int, int, int, int, int, float const*, int)",81,585.442,7.227679012345679,7.2,0.460388409085097
__amd_rocclr_copyBuffer,89,504.48,5.668314606741573,5.76,0.3967203320145288
"batch_decode_kernels::q_absorb_rope(float*, float*, float const*, unsigned short const*, int, int, int, int, int, int, int, float const*, int)",27,423.841,15.697814814814816,15.68,0.3333062603896485
"batch_decode_kernels::value_up(float*, float const*, unsigned short const*, int, int, int, int, unsigned long)",27,327.04,12.112592592592593,12.0,0.25718247974554287
"batch_decode_kernels::prefill_kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",27,273.76,10.139259259259259,10.08,0.21528337712554985
"batch_decode_kernels::prefill_q_rope(float*, float const*, int, int, int, int, int, float const*, int)",27,206.561,7.650407407407408,7.68,0.16243844850391112
"batch_decode_kernels::embedding(float*, unsigned short const*, int const*, int*, int, int, int, int)",5,23.52,4.704,4.48,0.018496000255672603
__amd_rocclr_fillBufferAligned,4,20.64,5.16,5.12,0.016231183897835143
"batch_decode_kernels::gather_last_hidden(float*, float const*, int, int, int)",1,5.6,5.6,5.6,0.004403809584683953
