Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_FLAT,SQ_ACTIVE_INST_MISC,SQ_ACTIVE_INST_VALU,SQ_ACTIVE_INST_VMEM,SQ_THREAD_CYCLES_VALU,SQ_WAVES,Start_Timestamp,End_Timestamp
0,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,1,13,22247.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912519379951987.0,4912519379957427.0
1,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,2,13,19795.0,2.0,41.0,96.0,0.0,5248.0,8.0,4912519496064145.0,4912519496068785.0
2,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,3,13,22861.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912519514659877.0,4912519514665797.0
3,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,4,13,19188.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912519514790438.0,4912519514795078.0
4,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,5,13,18211.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912519514855878.0,4912519514860198.0
5,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,6,13,22247.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912519562736370.0,4912519562742450.0
6,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,7,13,19584.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912519562813010.0,4912519562817970.0
7,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,8,13,18217.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912519562874450.0,4912519562878610.0
8,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,9,13,23677.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912520119159211.0,4912520119165931.0
9,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,10,13,20872.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912520119238251.0,4912520119244011.0
10,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,11,13,20249.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912520119299851.0,4912520119304811.0
11,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,12,13,22730.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912520740570499.0,4912520740576579.0
12,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,13,13,21282.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912520740648099.0,4912520740654019.0
13,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,14,13,19031.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912520740712099.0,4912520740716739.0
14,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,15,13,23785.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912521387926863.0,4912521387933583.0
15,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,16,13,21270.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912521388004783.0,4912521388010863.0
16,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,17,13,18991.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912521388069743.0,4912521388074383.0
17,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,18,13,23343.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912522019168422.0,4912522019174822.0
18,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,19,13,22220.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912522019246982.0,4912522019253222.0
19,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,20,13,18853.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912522019316742.0,4912522019321222.0
20,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,21,13,23745.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912522657282086.0,4912522657288966.0
21,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,22,13,21340.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912522657358406.0,4912522657364326.0
22,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,23,13,19041.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912522657424646.0,4912522657429286.0
23,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,24,13,24221.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912523295037638.0,4912523295044678.0
