Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,SQ_INSTS_VALU_MFMA_MOPS_I8,SQ_WAVES,Start_Timestamp,End_Timestamp
0,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,1,7,21111.0,0.0,0.0,0.0,0.0,0.0,8.0,4912586596535473.0,4912586596540433.0
1,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,2,7,19659.0,0.0,0.0,0.0,0.0,0.0,8.0,4912586725915372.0,4912586725920012.0
2,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,3,7,22041.0,0.0,0.0,0.0,0.0,0.0,8.0,4912586744844412.0,4912586744849692.0
3,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,4,7,18491.0,0.0,0.0,0.0,0.0,0.0,8.0,4912586744968573.0,4912586744972893.0
4,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,5,7,18289.0,0.0,0.0,0.0,0.0,0.0,8.0,4912586745088574.0,4912586745092734.0
5,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,6,7,20617.0,0.0,0.0,0.0,0.0,0.0,8.0,4912586797215252.0,4912586797220372.0
6,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,7,7,18195.0,0.0,0.0,0.0,0.0,0.0,8.0,4912586797282932.0,4912586797287252.0
7,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,8,7,18325.0,0.0,0.0,0.0,0.0,0.0,8.0,4912586797346292.0,4912586797350452.0
8,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,9,7,20331.0,0.0,0.0,0.0,0.0,0.0,8.0,4912587415171336.0,4912587415176456.0
9,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,10,7,18255.0,0.0,0.0,0.0,0.0,0.0,8.0,4912587415248776.0,4912587415253096.0
10,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,11,7,17387.0,0.0,0.0,0.0,0.0,0.0,8.0,4912587415307656.0,4912587415311816.0
11,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,12,7,20777.0,0.0,0.0,0.0,0.0,0.0,8.0,4912588037500132.0,4912588037505092.0
12,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,13,7,17813.0,0.0,0.0,0.0,0.0,0.0,8.0,4912588037569252.0,4912588037573412.0
13,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,14,7,18003.0,0.0,0.0,0.0,0.0,0.0,8.0,4912588037627972.0,4912588037632132.0
