Dispatch_ID,Kernel_Name,GPU_ID
0,__amd_rocclr_copyBuffer,1
1,__amd_rocclr_copyBuffer,1
2,__amd_rocclr_copyBuffer,1
3,__amd_rocclr_copyBuffer,1
4,__amd_rocclr_copyBuffer,1
5,__amd_rocclr_copyBuffer,1
6,__amd_rocclr_copyBuffer,1
7,__amd_rocclr_copyBuffer,1
8,__amd_rocclr_copyBuffer,1
9,__amd_rocclr_copyBuffer,1
10,__amd_rocclr_copyBuffer,1
11,__amd_rocclr_copyBuffer,1
12,__amd_rocclr_copyBuffer,1
13,__amd_rocclr_copyBuffer,1
14,__amd_rocclr_copyBuffer,1
15,__amd_rocclr_copyBuffer,1
16,__amd_rocclr_copyBuffer,1
17,__amd_rocclr_copyBuffer,1
18,__amd_rocclr_copyBuffer,1
19,__amd_rocclr_copyBuffer,1
20,__amd_rocclr_copyBuffer,1
21,__amd_rocclr_copyBuffer,1
22,__amd_rocclr_copyBuffer,1
23,__amd_rocclr_copyBuffer,1
24,__amd_rocclr_copyBuffer,1
25,__amd_rocclr_copyBuffer,1
26,__amd_rocclr_copyBuffer,1
27,__amd_rocclr_copyBuffer,1
28,__amd_rocclr_copyBuffer,1
29,__amd_rocclr_copyBuffer,1
30,__amd_rocclr_copyBuffer,1
31,__amd_rocclr_copyBuffer,1
32,__amd_rocclr_copyBuffer,1
33,__amd_rocclr_copyBuffer,1
34,__amd_rocclr_copyBuffer,1
35,__amd_rocclr_copyBuffer,1
36,__amd_rocclr_copyBuffer,1
37,__amd_rocclr_copyBuffer,1
38,__amd_rocclr_copyBuffer,1
39,__amd_rocclr_copyBuffer,1
40,__amd_rocclr_copyBuffer,1
41,__amd_rocclr_copyBuffer,1
42,__amd_rocclr_copyBuffer,1
43,__amd_rocclr_copyBuffer,1
44,__amd_rocclr_copyBuffer,1
45,__amd_rocclr_copyBuffer,1
46,__amd_rocclr_copyBuffer,1
47,__amd_rocclr_copyBuffer,1
48,__amd_rocclr_copyBuffer,1
49,__amd_rocclr_copyBuffer,1
50,__amd_rocclr_copyBuffer,1
51,__amd_rocclr_copyBuffer,1
52,__amd_rocclr_copyBuffer,1
53,__amd_rocclr_copyBuffer,1
54,__amd_rocclr_copyBuffer,1
55,__amd_rocclr_copyBuffer,1
56,__amd_rocclr_copyBuffer,1
57,__amd_rocclr_copyBuffer,1
58,__amd_rocclr_copyBuffer,1
59,__amd_rocclr_copyBuffer,1
60,__amd_rocclr_copyBuffer,1
61,__amd_rocclr_copyBuffer,1
62,__amd_rocclr_copyBuffer,1
63,__amd_rocclr_copyBuffer,1
64,__amd_rocclr_copyBuffer,1
65,__amd_rocclr_copyBuffer,1
66,__amd_rocclr_copyBuffer,1
67,__amd_rocclr_copyBuffer,1
68,__amd_rocclr_copyBuffer,1
69,__amd_rocclr_copyBuffer,1
70,__amd_rocclr_copyBuffer,1
71,__amd_rocclr_copyBuffer,1
72,__amd_rocclr_copyBuffer,1
73,__amd_rocclr_copyBuffer,1
74,__amd_rocclr_copyBuffer,1
75,__amd_rocclr_copyBuffer,1
76,__amd_rocclr_copyBuffer,1
77,__amd_rocclr_copyBuffer,1
78,__amd_rocclr_copyBuffer,1
79,__amd_rocclr_copyBuffer,1
80,__amd_rocclr_copyBuffer,1
81,__amd_rocclr_copyBuffer,1
82,__amd_rocclr_copyBuffer,1
83,__amd_rocclr_fillBufferAligned,1
84,__amd_rocclr_fillBufferAligned,1
85,"batch_decode_kernels::embedding(float*, unsigned short const*, int const*, int*, int, int, int, int)",1
86,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",1
87,"batch_decode_kernels::dual_gemv(float*, unsigned short const*, int, float*, unsigned short const*, int, float const*, int, int)",1
88,"batch_decode_kernels::kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",1
89,"batch_decode_kernels::q_absorb_rope(float*, float*, float const*, unsigned short const*, int, int, int, int, int, int, int, float const*, int)",1
90,"batch_decode_kernels::attention_score(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",1
91,"void attention_kernels::softmax_rows_kernel<256>(float*, int, int, int, int)",1
92,"batch_decode_kernels::latent_context(float*, float const*, unsigned short const*, int, int, int, int, int, int)",1
93,"batch_decode_kernels::value_up(float*, float const*, unsigned short const*, int, int, int, int, unsigned long)",1
94,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",1
95,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",1
96,"batch_decode_kernels::gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",1
97,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",1
98,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",1
