Kernel_Name,Count,Sum(us),Mean(us),Median(us),Pct
"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",540,51838.144,95.99656296296297,85.7605,40.78114196745547
"void batch_decode_kernels::grouped_expert_gate_up<16, 1>(float const*, char const*, unsigned long const*, unsigned long const*, int const*, int const*, float*, unsigned short*, int, int, int, int, int)",104,19782.005,190.21158653846152,136.481,15.56253160425485
"void batch_decode_kernels::grouped_expert_down<16, 1>(float const*, unsigned short const*, char const*, unsigned long const*, int const*, int const*, float*, int, int, int, int)",104,11589.806,111.44044230769231,80.161,9.11771694336254
"batch_decode_kernels::mfma_gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",108,10158.938,94.06424074074074,88.8005,7.992051042887996
"batch_decode_kernels::mfma_head_gemm(float*, float const*, unsigned short const*, int, int, int, int, int, int, unsigned long)",216,4286.421,19.844541666666668,20.08,3.372133526487415
"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",275,3501.458,12.732574545454545,12.64,2.7546020125852246
"batch_decode_kernels::reduce_routes_add(float*, float const*, float const*, int, int, int)",104,3081.773,29.63243269230769,29.92,2.424435223307207
"batch_decode_kernels::latent_context(float*, float const*, unsigned short const*, int, int, int, int, int, int)",108,3048.808,28.229703703703706,33.92,2.398501610696439
"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",81,2649.932,32.715209876543206,23.2,2.08470529145687
"batch_decode_kernels::routed_shared_gate_up(float*, float*, float const*, char const*, unsigned long const*, unsigned long const*, int const*, unsigned short const*, unsigned short const*, int, int, int, int, int)",26,2396.009,92.15419230769231,92.161,1.8849437044717692
"void moe_kernels::router_topk_wave64_kernel<64>(float*, float const*, int*, float*, int, int, int, int, int, float)",130,2091.046,16.084969230769232,16.16,1.6450288765446515
"batch_decode_kernels::align_routes(int const*, int, int, int, int*, int*, int*)",104,1827.849,17.575471153846152,16.961,1.4379714205059406
"batch_decode_kernels::routed_shared_down(float*, float const*, float const*, char const*, unsigned long const*, int const*, float const*, unsigned short const*, int, int, int, int, int)",26,1694.727,65.1818076923077,65.12,1.3332441528593288
"batch_decode_kernels::kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",108,1108.004,10.259296296296295,10.24,0.8716683302648437
"batch_decode_kernels::attention_score(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",108,1075.204,9.955592592592593,9.9205,0.8458645233898804
"batch_decode_kernels::dual_gemv(float*, unsigned short const*, int, float*, unsigned short const*, int, float const*, int, int)",27,1050.086,38.892074074074074,38.88,0.8261041568933765
"batch_decode_kernels::gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",27,1040.804,38.5482962962963,35.52,0.8188019942283336
"batch_decode_kernels::argmax(float const*, int, int*, int)",5,918.563,183.7126,184.48,0.722634824831919
"void batch_decode_kernels::flash_prefill<8>(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",27,868.001,32.148185185185184,32.32,0.6828576271730198
"void attention_kernels::softmax_rows_kernel<256>(float*, int, int, int, int)",108,863.362,7.994092592592592,8.0,0.6792081192433564
"batch_decode_kernels::q_rope(float*, float const*, int, int, int, int, int, int, float const*, int)",81,576.322,7.115086419753086,7.04,0.45339334103026274
"batch_decode_kernels::q_absorb_rope(float*, float*, float const*, unsigned short const*, int, int, int, int, int, int, int, float const*, int)",27,418.4,15.496296296296295,15.52,0.32915587794160545
__amd_rocclr_copyBuffer,89,401.76,4.514157303370786,4.32,0.3160651661611362
"batch_decode_kernels::value_up(float*, float const*, unsigned short const*, int, int, int, int, unsigned long)",27,327.203,12.118629629629629,12.001,0.2574110677106289
"batch_decode_kernels::prefill_kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",27,265.602,9.837111111111112,9.76,0.20894947297573205
"batch_decode_kernels::prefill_q_rope(float*, float const*, int, int, int, int, int, float const*, int)",27,204.16,7.561481481481482,7.52,0.16061296376806447
"batch_decode_kernels::embedding(float*, unsigned short const*, int const*, int*, int, int, int, int)",5,24.0,4.8,4.8,0.01888083429875366
__amd_rocclr_fillBufferAligned,4,19.52,4.88,4.8,0.01535641189631964
"batch_decode_kernels::gather_last_hidden(float*, float const*, int, int, int)",1,5.12,5.12,5.12,0.004027911317067447
