Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_LDS_BANK_CONFLICT,SQ_LDS_IDX_ACTIVE,SQ_WAVES,TCC_BUSY_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,Start_Timestamp,End_Timestamp
0,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,1,6,21434.0,0.0,0.0,8.0,69742.0,392655.0,2825.0,4912614949932824.0,4912614949937624.0
1,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,2,6,19306.0,0.0,0.0,8.0,37410.0,379863.0,2572.0,4912615087747567.0,4912615087751887.0
2,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,3,6,22171.0,0.0,0.0,8.0,72989.0,406019.0,3918.0,4912615107246689.0,4912615107252129.0
3,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,4,6,18419.0,0.0,0.0,8.0,56663.0,386259.0,2988.0,4912615107402849.0,4912615107407169.0
4,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,5,6,18053.0,0.0,0.0,8.0,33649.0,383607.0,2718.0,4912615107564290.0,4912615107568290.0
5,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,6,6,20878.0,0.0,0.0,8.0,76109.0,400455.0,4212.0,4912615181210138.0,4912615181215258.0
6,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,7,6,18711.0,0.0,0.0,8.0,57874.0,387442.0,3022.0,4912615181379738.0,4912615181384058.0
7,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,8,6,17896.0,0.0,0.0,8.0,33058.0,381904.0,2694.0,4912615181531258.0,4912615181535418.0
8,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,9,6,20699.0,0.0,0.0,8.0,73310.0,400481.0,4042.0,4912615951724978.0,4912615951730258.0
9,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,10,6,18284.0,0.0,0.0,8.0,56746.0,384075.0,2825.0,4912615951886578.0,4912615951890898.0
10,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,11,6,18674.0,0.0,0.0,8.0,35663.0,386610.0,2724.0,4912615952033618.0,4912615952037778.0
11,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,12,6,20546.0,0.0,0.0,8.0,76326.0,399636.0,3990.0,4912616625225404.0,4912616625230684.0
12,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,13,6,18486.0,0.0,0.0,8.0,57065.0,383451.0,2807.0,4912616625387964.0,4912616625392124.0
13,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,14,6,18431.0,0.0,0.0,8.0,34326.0,380422.0,2614.0,4912616625540124.0,4912616625544124.0
14,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,15,6,20935.0,0.0,0.0,8.0,73722.0,399779.0,3756.0,4912617327283890.0,4912617327289010.0
15,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,16,6,18694.0,0.0,0.0,8.0,59305.0,384725.0,2919.0,4912617327456530.0,4912617327460850.0
16,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,17,6,18163.0,0.0,0.0,8.0,32325.0,384283.0,2670.0,4912617327610770.0,4912617327614930.0
17,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,18,6,20593.0,0.0,0.0,8.0,74273.0,398167.0,3887.0,4912617931154518.0,4912617931159478.0
18,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,19,6,19124.0,0.0,0.0,8.0,55103.0,390913.0,2932.0,4912617931325558.0,4912617931330038.0
19,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,20,6,17962.0,0.0,0.0,8.0,31651.0,381397.0,2780.0,4912617931482838.0,4912617931486838.0
